Year,Month,948070417
1999,01,46.78
1999,02,19.74
1999,03,19.89
1999,04,52.21
1999,05,0.9
1999,06,9.65
1999,07,2.59
1999,08,0.66
1999,09,1.03
1999,10,0
1999,11,1.1
1999,12,4.61
2000,01,17.36
2000,02,108.68
2000,03,34.58
2000,04,28.01
2000,05,2.51
2000,06,0.25
2000,07,0
2000,08,1.14
2000,09,3.81
2000,10,26.64
2000,11,9.62
2000,12,1.19
2001,01,77.08
2001,02,112.77
2001,03,37.92
2001,04,40.72
2001,05,4.5
2001,06,0.21
2001,07,0.59
2001,08,0
2001,09,0.27
2001,10,0.3
2001,11,32.77
2001,12,30.34
2002,01,10.06
2002,02,5.08
2002,03,26.29
2002,04,14.73
2002,05,1.56
2002,06,0.51
2002,07,0.39
2002,08,0.23
2002,09,4.9
2002,10,1.42
2002,11,46.84
2002,12,55.25
2003,01,3.04
2003,02,133.74
2003,03,57.81
2003,04,57
2003,05,15.02
2003,06,3.88
2003,07,1.9
2003,08,1.61
2003,09,0.29
2003,10,0.49
2003,11,23.21
2003,12,27.89
2004,01,11.08
2004,02,108.79
2004,03,12.47
2004,04,17.28
2004,05,0.97
2004,06,0.59
2004,07,0.28
2004,08,1.37
2004,09,0.6
2004,10,165.54
2004,11,25.06
2004,12,77.78
2005,01,190.96
2005,02,178.03
2005,03,39.14
2005,04,27.06
2005,05,3.76
2005,06,0.58
2005,07,4.96
2005,08,1.35
2005,09,4.88
2005,10,28.78
2005,11,2.79
2005,12,4.46
2006,01,32.67
2006,02,38.2
2006,03,79.96
2006,04,49.84
2006,05,12.72
2006,06,0.96
2006,07,3.71
2006,08,0.29
2006,09,2.21
2006,10,9.87
2006,11,5.69
2006,12,28.1
2007,01,33.35
2007,02,55.68
2007,03,8.74
2007,04,17.27
2007,05,1.59
2007,06,0.57
2007,07,0.01
2007,08,10.3
2007,09,3.73
2007,10,4.75
2007,11,40.36
2007,12,74.98
2008,01,153.89
2008,02,80.14
2008,03,7.31
2008,04,1.5
2008,05,13.54
2008,06,4.64
2008,07,0.09
2008,08,0.49
2008,09,1.44
2008,10,1.93
2008,11,44.76
2008,12,117.05
2009,01,5.26
2009,02,102.53
2009,03,3.58
2009,04,5.27
2009,05,0.87
2009,06,1.37
2009,07,0.47
2009,08,0
2009,09,6.14
2009,10,2.47
2009,11,14.62
2009,12,89.13
2010,01,163.98
2010,02,103.41
2010,03,14.01
2010,04,53.27
2010,05,0.81
2010,06,0.08
2010,07,2.03
2010,08,0.12
2010,09,1.31
2010,10,69.15
2010,11,37.3
2010,12,239.72
2011,01,31.38
2011,02,97.64
2011,03,62.95
2011,04,8.9
2011,05,21.52
2011,06,3.11
2011,07,0.85
2011,08,1.23
2011,09,2.26
2011,10,21.7
2011,11,76.24
2011,12,22.2
2012,01,23.82
2012,02,42.5
2012,03,56.51
2012,04,56.46
2012,05,2.67
2012,06,0
2012,07,0.44
2012,08,0.09
2012,09,5.29
2012,10,16.59
2012,11,10.2
2012,12,73.58
2013,01,38.16
2013,02,23.77
2013,03,41.32
2013,04,2.82
2013,05,14.59
2013,06,0
2013,07,1.29
2013,08,0
2013,09,0.14
2013,10,26.34
2013,11,17.57
2013,12,15.77
2014,01,4.09
2014,02,23.61
2014,03,65.68
2014,04,18.34
2014,05,0.06
2014,06,0
2014,07,0.16
2014,08,6.68
2014,09,3.2
